module_id,mean_daily_soil_temp_c,max_daily_soil_temp_c,min_daily_soil_temp_c,range_daily_soil_temp_c
CZ1,22.1,25.5,19.3,6.2
CF1,22.2,25.1,19.6,5.5
CF2,23,27.7,18.9,8.8
CD1,21.7,26,18.5,7.5
CD2,22.2,25.8,19.3,6.5
CC1,22,25.8,19,6.7
CC2,21.8,25,19.1,5.9
CE1,21.2,23.5,19.1,4.4
CE2,21.5,24.3,19.1,5.2
CA1,21.8,24.2,19.5,4.7
CA2,22.2,25.9,19,6.9
CB1,22.3,25.2,19.8,5.5
CB2,21.9,24.2,19.9,4.4
IZ1,22,26.3,18.2,8.1
IF1,21.9,25.5,18.7,6.8
IF2,22.7,27,18.8,8.3
ID1,21.8,25.8,18,7.8
ID2,21.9,27.1,17.6,9.6
IC1,22.1,26.8,17.8,9
IC2,22.2,25.9,18.7,7.2
IE1,21.5,25.7,17.8,7.9
IE2,21.9,25.9,18.3,7.6
IA1,21.8,25.5,18.5,7
IA2,21.7,24.8,18.7,6.1
IB1,21.7,25.4,18.4,7.1
IB2,21.8,25.4,18.6,6.8
HZ1,21.5,26.1,17.2,8.8
HF1,22.3,26.4,18.5,8
HF2,21.8,26.2,17.8,8.5
HD1,22,27.4,17.3,10.1
HD2,21.2,26.1,16.9,9.2
HC1,21.5,25.9,17.5,8.4
HC2,21.9,26.8,17.5,9.3
HE1,21.8,26.8,17.4,9.4
HE2,21.3,25.5,17.4,8.1
HA1,22,26.7,17.7,9
HA2,21.3,25.6,17.3,8.3
HB1,21.6,25.7,17.8,8
HB2,21.7,26.4,17.5,8.9
KZ1,21.9,25.1,19.7,5.4
KF1,21.2,23.2,19.7,3.5
KF2,21.4,23.3,20,3.3
KD1,21.2,23.4,19.7,3.8
KD2,21.6,23.6,20.1,3.4
KC1,21.5,23.5,20,3.5
KC2,21.2,23.5,19.5,4
KE1,21.8,24.1,20.2,4
KE2,21.1,23.3,19.5,3.8
KA1,21.1,22.7,19.9,2.8
KA2,21.4,23.3,19.9,3.4
KB1,21.1,22.8,19.8,3
KB2,21.7,23.6,20.4,3.2
GZ1,21.9,27.6,18.3,9.3
GF2,22.2,25.4,19.7,5.7
GD1,21.8,24.4,19.7,4.7
GD2,21.3,24.7,18.7,5.9
GC1,22,25.5,19.3,6.1
GC2,21,23.5,19,4.4
GE1,21.1,23.6,19,4.6
GA1,21.8,24.5,19.5,5
GA2,22.4,25.1,20.2,4.9
GB1,21.9,24.5,19.9,4.6
GB2,21.5,24,19.6,4.4
EZ1,22,27.9,16.9,11
EF1,22.7,27.6,18.4,9.2
EF2,22,26.8,17.8,9
ED1,21.8,26.9,17.4,9.5
ED2,22,27,17.6,9.4
EC1,22.3,27.1,18.1,9
EC2,22.6,28.2,17.7,10.4
EE1,22.5,27.8,17.8,10
EE2,22,27.1,17.4,9.7
EA1,23,27.7,18.9,8.8
EA2,22.3,27,18.1,8.9
EB1,22.6,27.4,18.2,9.2
EB2,22,26.6,17.9,8.7
ZZ1,21.5,26.8,16.9,9.9
ZF1,21.6,26.1,17.7,8.4
ZF2,21.6,26.2,17.5,8.7
ZD1,21.7,26.3,17.4,8.9
ZD2,21.6,26.9,17.1,9.8
ZC1,22,26.7,17.8,8.9
ZC2,21.9,26.5,17.8,8.7
ZE1,21.2,26.2,16.8,9.3
ZE2,21.5,26.6,17,9.6
ZA1,21.7,25.6,18.2,7.4
ZA2,22,26.7,17.9,8.9
ZB1,21.7,25.9,17.8,8.1
ZB2,21.3,25.9,17.3,8.6
AA1,21.7,26.2,17.8,8.4
AA2,21.3,25.3,17.9,7.4
AB1,21.8,25.8,18.2,7.5
AB2,21.7,25.5,18.3,7.2
AZ1,21.5,26.2,17.2,9
AF1,21.6,25.2,18.3,6.9
AF2,21.6,25.8,17.8,8
AD1,21.4,25.7,17.6,8.1
AD2,21.9,26.5,17.8,8.7
AC1,21.9,26,18.4,7.6
AC2,21.3,25.5,17.4,8.1
AE1,21.1,25,17.6,7.4
AE2,21.1,25.1,17.4,7.8
LZ1,21.3,25.1,18.7,6.3
LF1,21.5,23.7,19.8,3.9
LD1,21.5,23.8,19.7,4.1
LD2,21.9,25,19.6,5.4
LC1,21.8,24.3,19.9,4.4
LC2,21.5,24.1,19.5,4.7
LE1,21.7,23.8,19.9,3.9
LA1,20,22.4,18.3,4.1
LB1,21.4,23.6,19.7,4
LB2,22.1,23.8,20.6,3.2
DZ1,22.2,27.2,17.7,9.4
DF1,22.2,26.7,18.1,8.6
DF2,21.6,25.5,17.8,7.8
DD1,21.7,26.1,17.7,8.4
DD2,21.7,26.4,17.5,8.8
DC1,22.1,26.8,17.6,9.2
DC2,22,26.7,17.7,9
DE1,21.9,26.2,17.8,8.4
DE2,21.1,24.8,17.6,7.1
DA1,21.8,25.5,18.4,7.1
DA2,21.5,25.6,17.7,8
DB1,21.9,25.9,18.2,7.7
DB2,21.8,25.4,18.3,7.1
BZ1,22.5,27,18.4,8.6
BF1,21.9,26.2,18.1,8
BF2,22.3,27.1,18.1,9.1
BD1,21.7,26.3,17.6,8.7
BD2,22.1,27.5,17.4,10.1
BC1,22.1,27.2,17.6,9.6
BC2,22,26.2,18,8.2
BE1,21.9,26.5,17.8,8.7
BE2,21.7,26.5,17.5,9
BA1,22.6,27.2,18.3,9
BA2,22.6,27.3,18.5,8.7
BB1,22.3,26.6,18.5,8.1
BB2,21.8,26,18,8
FZ1,21.3,26.2,16.9,9.3
FF1,21,25.1,17.1,8
FF2,21,24.8,17.5,7.3
FD1,21,25.4,16.9,8.5
FD2,20.9,25.5,16.7,8.7
FC1,21.1,25,17.4,7.6
FC2,21.2,25.4,17.3,8.1
FE1,20.8,25.3,16.8,8.5
FE2,21.9,23.4,20.3,3.1
FA1,20.8,25.1,16.9,8.2
FA2,21.3,25.6,17.3,8.2
FB1,21,24.7,17.5,7.2
FB2,21.1,24.8,17.6,7.2